,event,location,from,to,admision,address,category
63,Summer Concerts at Brewer Plaza,"Boston Common, Brewer Fountain","Friday, Jun 24, 2016   12:00p","Friday, Sep 30, 2016   1:00p",FREE,"148 Tremont St Boston , MA 02111","Date Idea, Music"
64,Local Artist Nyx Breen Launches Art Exhibit at Onyx Hotel,Onyx Hotel,"Thursday, Jul 21, 2016   12:00a","Friday, Oct 14, 2016   11:30p",FREE,"155 Portland Street Boston , MA 02114",Art
65,Hy-Brasil: Mapping a Mythical Island,Norman B. Leventhal Map Center at the Boston Public Library,"Wednesday, Jun 29, 2016   10:00a","Sunday, Oct 23, 2016   7:00p",FREE,"700 Boylston Street, Copley Square Boston , MA 02116",Art
66,Seaport Sweat: Free Fitness on Seaport Green,Seaport Green,"Monday, Aug 01, 2016   5:30p","Monday, Oct 31, 2016   6:30p",FREE,"85 Northern Ave Boston , MA 02210","Date Idea, Sports & Active Life"
67,Shear Madness: Boston's Hilarious Whodunit,Charles Playhouse,"Saturday, Apr 04, 2015   6:00p","Saturday, Dec 17, 2016   8:00p",$25,"74 Warrenton St Boston , MA 02116","Date Idea, Performing Arts"
68,Blue Man Group Boston,Charles Playhouse,"Thursday, Nov 19, 2015   7:30p","Saturday, Dec 31, 2016   9:30p",$57-103,"74 Warrenton St Boston , MA 02116","Date Idea, Music, Nightlife, Performing Arts"
69,Trapped in a Room with a Zombie,Room Escape Adventures Boston,"Friday, May 29, 2015   6:30p","Saturday, Dec 31, 2016   7:30p",$28,"628 Somerville Ave Somerville , MA 02143","Date Idea, Nightlife, Performing Arts"
70,Shit-faced Shakespeare,Laugh Boston + The Rockwell (formerly the Davis Square Theatre),"Thursday, May 07, 2015   7:00p","Friday, Jan 27, 2017   8:30p",$27.50,"255 Elm St Somerville , MA 02144","Alcohol, Date Idea, Nightlife, Performing Arts"
71,Picturing Frederick Douglass,Museum of African American History,"Friday, Jul 15, 2016   10:00a","Wednesday, May 31, 2017   4:00p",$5,"46 Joy St. Boston , MA 02114",
72,Bootcamp by Greichen,Joe Moakley Park,"Tuesday, Aug 30, 2016  6:00a",7:00a,$12,"1005 Columbia Road South Boston , MA 02127",Sports & Active Life
73,Oat Shop Pop-Up,The Middle Gray,"Tuesday, Aug 30, 2016  8:00a",12:00p,FREE,"6 Station Street Brookline , Ma 02445","< 21, Date Idea, Food, Innovation"
74,Try a Superpedestrian bike for the day,Superpedestrian,"Tuesday, Aug 30, 2016  9:00a",6:00p,$15,"84 Hamilton Street Cambridge , Massachusetts 02139","Business, Date Idea, Innovation, Sports & Active Life, Tech, University"
75,Google Analytics Training Course,American Graphics Institute,"Tuesday, Aug 30, 2016  9:30a",4:30p,$495.00,"120 Presidential Way Woburn , MA 01801","Business, Lectures & Conferences, Tech"
76,Toddler Tuesdays,Spectacle Island,"Tuesday, Aug 30, 2016  10:00a",10:30a,FREE,"66 Long Wharf Boston , MA 02109",Kid Friendly
77,Storytelling Tuesdays at Faneuil Hall Marketplace,Faneuil Hall Marketplace,"Tuesday, Aug 30, 2016  10:30a",11:00a,FREE,"Atlantic Ave Boston , Mass. 02124","Food, Innovation, Kid Friendly, Performing Arts, Social Good"
78,Summer Concerts on Summer Street,Summer Street Plaza,"Tuesday, Aug 30, 2016  12:00p",1:00p,FREE,"Summer St & Washington St Boston , MA 02111",Music
79,Passim Presents Concerts at Kendall Center,Kendall Square,"Tuesday, Aug 30, 2016  12:00p",1:00p,FREE,"Kendall St Cambridge , MA 02142 02142",Music
80,King's Chapel Tuesday Recitals,King's Chapel,"Tuesday, Aug 30, 2016  12:00p",1:00p,$3,"58 Tremont St Boston , MA 02108","Date Idea, Music"
81,Farmers' Market at Harvard,"The Plaza at the Science Center, Harvard University","Tuesday, Aug 30, 2016  12:00p",6:00p,FREE,"1 Oxford Street Cambridge , MA 02138","Food, Kid Friendly, University"
82,Docent-Led Gallery Talk: Collecting for the Boston AthenÃ¦um in the 21st Century: Prints & Photographs ,Boston AthenÃ¦um,"Tuesday, Aug 30, 2016  2:00p",3:00p,$5.00,"10 Â½ Beacon Street Boston , MA 02108","< 21, Art, Meetup"
83,Art and Architecture Tour,Boston AthenÃ¦um,"Tuesday, Aug 30, 2016  3:00p",4:00p,FREE,"10 Â½ Beacon Street Boston , MA 02108","< 21, Art, Meetup"
84,Somerville StrEATs,Nathan Tufts Park,"Tuesday, Aug 30, 2016  4:30p",8:30p,FREE,"136 College Ave. Somerville , MA 02144","< 21, Date Idea, Festivals & Fairs, Food, Kid Friendly"
85,Bollywood in Boston Live on Stage,Collins Center,"Tuesday, Aug 30, 2016  5:00p",8:30p,$30 to $100,"Andover High School Andover , MA 01810","Art, Film, Performing Arts"
86,Cornhole Tournaments at The Harp,The Harp,"Tuesday, Aug 30, 2016  5:30p",7:30p,FREE,"85 Causeway Street Boston , MA 02114","Alcohol, Food, Meetup, Sports & Active Life"
87,Sangria Social,Barcelona Wine Bar,"Tuesday, Aug 30, 2016  5:30p",7:30p,FREE,"525 Tremont Street Boston , MA 02116","Food, Meetup, Music, Nightlife, Party, Performing Arts"
88,Game Night,Good Life Bar,"Tuesday, Aug 30, 2016  6:00p",11:30p,FREE,"28 Kingston st Boston , MA 02111","21+, Alcohol, Food, Meetup, Nightlife, r/BostonSocialClub, Social Good"
89,ð¸ Cocktail Hour with BOSRETECH (#BOSRETECH9),WeWork Fort Point,"Tuesday, Aug 30, 2016  6:00p",7:00p,FREE,"51 Melcher St Boston , MA 02210","Alcohol, Food, Innovation, Meetup"
90,Zumba on the Esplanade,DCR's Hatch Memorial Shell,"Tuesday, Aug 30, 2016  6:00p",7:00p,FREE,"47 David G Mugar Way Boston , MA 02108","Party, Sports & Active Life"
91,Talleres para principiantes (Beginners Spanish Workshop),Boston Area Spanish Exchange (BASE),"Tuesday, Aug 30, 2016  6:00p",7:00p,FREE,"50 Milk Street Boston , MA ","Business, Innovation, Meetup, Social Good"
92,Commonwealth Hosts the BT/ALC Big Band on the Patio,Commonwealth Restaurant & Market,"Tuesday, Aug 30, 2016  6:00p",9:00p,FREE,"11 Broad Canal Way Cambridge , MA 02142","Food, Music"
93,Tequila & Taco Tuesday Cruise,Karma Crew Yacht Charters,"Tuesday, Aug 30, 2016  6:00p",8:00p,$55,"1 Marina Park Dr Boston , MA 02210","Alcohol, Date Idea, Food"
94,Paws+Pints @ Night Shift: Gifford Cat Shelter,Night Shift Brewing,"Tuesday, Aug 30, 2016  6:00p",10:00p,FREE,"87 Santilli Highway Everett , MA 02149","Alcohol, Date Idea, Meetup, Social Good"
95,Living Root Dragon Boat,The Docks behind the Barking Crab,"Tuesday, Aug 30, 2016  6:00p",8:00p,FREE,"88 Sleeper Street Boston , MA 02210","Meetup, Sports & Active Life"
96,CambridgeSide Neighborhood Movie Night - In Collaboration with Cambridge Arts Summer in the City,CambridgeSide,"Tuesday, Aug 30, 2016  6:00p",10:00p,FREE,"100 CambridgeSide Place, Canal Park Cambridge , MA 02141","Date Idea, Film, Festivals & Fairs, Kid Friendly, Party, Performing Arts"
97,Boston Harbor Hotelâs 18th Annual Summer in the City Series Presents: Pop-Soul Tuesdays featuring Soul City,Boston Harbor Hotel,"Tuesday, Aug 30, 2016  6:00p",10:00p,FREE,"70 Rowes Wharf Boston , MA 02110","Date Idea, Food, Music, Nightlife, Social Good"
98,Customer Success and Customer Support (CSxCS) Boston Small group sessions,Mavrck HQ,"Tuesday, Aug 30, 2016  6:30p",8:30p,FREE,"100 North Washington Street Boston , MA 02114","Business, Meetup, Tech"
99,The Power of the Personal Narrative,PRX Podcast Garage,"Tuesday, Aug 30, 2016  6:30p",8:00p,FREE,"267 Western Avenue Boston , MA 02134","Lectures & Conferences, Performing Arts"
100,EBASS Open Mic @ Thunder Road,Thunder Road,"Tuesday, Aug 30, 2016  6:30p",11:30p,FREE,"379 Somerville Ave Somerville , MA 02143","Alcohol, Art, Food, Meetup, Music, Nightlife, Party, Performing Arts, Social Good"
101,Navigating the Quarter Life Crisis,Society of Grownups,"Tuesday, Aug 30, 2016  6:30p",8:30p,$10,"1653 Beacon Street Brookline , MA 02445",Lectures & Conferences
102,Figure Drawing TUESDAYS ,"Artisan's Asylum, Inc.","Tuesday, Aug 30, 2016  6:30p",9:30p,$21.39,"10 Tyler St. Somerville , MA 02143","Art, Date Idea, Nightlife, LGBT, Meetup, Performing Arts"
103,Travel Workshop: India 101,Hostelling International Boston,"Tuesday, Aug 30, 2016  6:30p",8:00p,FREE,"19 Stuart St Boston , MA 02116","Lectures & Conferences, Kid Friendly, Meetup, Social Good"
104,Sails & Ales: Sunset Cruise with Harpoon Brewery,"Adirondack III, Rowes Wharf","Tuesday, Aug 30, 2016  6:30p",8:30p,$71,"60 Rowes Wharf Boston , MA 02110","Alcohol, Date Idea"
105,Chopps American Bar and Grill Welcomes Singer-Songwriter Alex Raven,Chopps American Bar and Grill,"Tuesday, Aug 30, 2016  7:00p",10:00p,FREE,"One Burlington Mall Road Burlington , Massachusetts 01803",Music
106,FREE mindfulness yoga class,Tzu Chi Boston service center,"Tuesday, Aug 30, 2016  7:30p",8:30p,FREE,"15 Summer St Newton , MA 02464",
107,Beer Garden Trivia Under the Stars ,American Fresh Beer Garden,"Tuesday, Aug 30, 2016  7:30p",11:00p,FREE,"301 Canal Street Somerville , MA 02145","Alcohol, Food, Meetup, Nightlife"
108,Indo-Row Class in South End,SWET STUDIO,"Tuesday, Aug 30, 2016  7:30p",8:30p,$See Website for Details,"480 Tremont Street Boston , Massachusetts 02116",Sports & Active Life
109,Open Mic,Club Passim,"Tuesday, Aug 30, 2016  7:30p",9:30p,$0-5,"47 Palmer Street, Cambridge , MA 02138",Music
110,Personal Branding: How to Craft and Tell Your Story,General Assembly Boston,"Tuesday, Aug 30, 2016  7:30p",9:00p,$35,"51 Melcher Street Boston , Massachusetts 02210","Business, Innovation, Tech"
111,Independently-hosted Trivia at AERONAUT,Aeronaut Brewing Company,"Tuesday, Aug 30, 2016  8:00p",11:00p,FREE,"14 Tyler Street Somerville , Massachusetts 02143","Alcohol, Date Idea, Nightlife"
112,Bluegrass Pickin' Party at the Cantab,The Cantab Lounge,"Tuesday, Aug 30, 2016   8:00p","Wednesday, Aug 31, 2016   2:00a",$7 suggested donation,"738 Massachusetts Ave Cambridge , MA 02139","Music, Nightlife"
113,The 'Mystery Lounge' Magic Show,The Hong Kong,"Tuesday, Aug 30, 2016  8:00p",10:00p,$15,"1238 Massachusetts Ave Cambridge , MA 02138","< 21, Alcohol, Date Idea, Food, Performing Arts"
114,McGreevy's Comedy - FREE Comedy Show!,McGreevys Boston,"Tuesday, Aug 30, 2016  8:00p",10:00p,FREE,"911 Boylston St. Boston , MA 02115","Alcohol, Art, Business, Date Idea, Film, Food, Innovation, LGBT, Meetup, Music, Nightlife, Party, Performing Arts, Social Good"
115,STUMP Trivia @ The Living Room,The Living Room,"Tuesday, Aug 30, 2016  8:00p",10:00p,FREE,"101 Atlantic Ave Boston , MA 02110","Alcohol, Date Idea, Food, Meetup, Nightlife, Party"
116,thinktank trivia @ THE SINCLAIR,The Sinclair,"Tuesday, Aug 30, 2016  8:00p",10:00p,FREE,"52 Church St. Cambridge , Massachusetts 02138","< 21, Alcohol, Date Idea, LGBT, Nightlife, University"
117,Holy Hand Grenade & Ali McGuirk,Lizard Lounge Cambridge,"Tuesday, Aug 30, 2016  8:30p",11:30p,$8-10,"1667 Massachusetts Ave Cambridge , MA 02138",Music
118,thinktank trivia @ Common Ground Arlington!,Common Ground Arlington,"Tuesday, Aug 30, 2016  9:00p",11:00a,FREE,"319 Broadway Arlington , MA 02474","< 21, Alcohol, Date Idea, Meetup, Nightlife, Social Good"
119,Zuesday! Queer Dance Party with DJ Leah V and BLK.Adonis,ZuZu Bar,"Tuesday, Aug 30, 2016   10:00p","Wednesday, Aug 31, 2016   1:00a",$3,"474 Massachusetts Ave Cambridge , MA 02139","Date Idea, LGBT, Music, Nightlife"
120,Boston Architecture Cruise,Charles Riverboat Company,"Monday, May 30, 2016   10:00a","Tuesday, Aug 30, 2016   3:30p",$27.50,"100 Cambridgeside Pl Cambridge , MA 02141","Date Idea, Lectures & Conferences"
121,Flume World Tour - House of Blues,House of Blues,"Monday, Aug 29, 2016   7:00p","Tuesday, Aug 30, 2016   11:30p",$45,"15 Lansdowne Street Boston , MA 02215","< 21, Alcohol, Music, Nightlife"
122,Metropolitan Chorale Auditions,All Saints Church,"Monday, Aug 15, 2016   7:00p","Wednesday, Aug 31, 2016   10:00p",FREE,"1773 Beacon Street Brookline , MA 02445",Performing Arts
123,Top 7 Rooftop Bars in/around Boston,Boston +,"Friday, Mar 25, 2016   3:00p","Wednesday, Aug 31, 2016   11:00p",$[Varies],"Surrounding Areas Boston , MA ","Alcohol, Date Idea, Food, Nightlife"
124,Erik DesmaziÃ¨res: Imaginary Places,Childs Gallery,"Thursday, Jul 14, 2016   9:00a","Friday, Sep 02, 2016   6:00p",FREE,"169 Newbury Street Boston , MA 02116","Art, Kid Friendly"
125,Now + There Presents Public Trust in Dudley Square,Dudley Square Branch of the Boston Public Library,"Saturday, Aug 27, 2016   10:00a","Friday, Sep 02, 2016   8:00p",FREE,"65 Warren Street Roxbury , MA 02119","Art, Kid Friendly, Performing Arts, Social Good"
126,Summer Getaway! 22nd Annual Summer Poster Show,International Poster Gallery,"Tuesday, Jul 05, 2016   10:00a","Monday, Sep 05, 2016   6:00p",FREE,"205 Newbury Street Boston , Massachusetts 02116",Art
127,Extraordinary Playscapes,BSA Space,"Wednesday, Jun 08, 2016   6:00p","Monday, Sep 05, 2016   11:30p",FREE,"290 Congress St. Boston , MA 02210","< 21, Art, Innovation, Kid Friendly, Social Good, Sports & Active Life"
128,Mollusk Madness at Saloon,Saloon,"Wednesday, Aug 03, 2016   5:00p","Monday, Sep 05, 2016   7:00p",FREE,"255 Elm Street Somerville , MA 02144","< 21, Alcohol, Business, Date Idea, Food, LGBT, Meetup, Music, Nightlife, Party"
129,'Golden Girls' Live On Stage: A Drag Parody with Music,Club Cafe,"Friday, May 27, 2016   8:00p","Sunday, Sep 11, 2016   10:00p",$50-70,"209 Columbus Ave Boston , MA 02116","LGBT, Nightlife, Performing Arts"
130,Sunset Cruise on the Charles River,Charles Riverboat Company,"Friday, Jun 24, 2016   5:30p","Monday, Sep 12, 2016   8:30p",$18,"100 Cambridgeside Pl Cambridge , MA 02141","Alcohol, Date Idea, Music"
